SampleCode,Cluster,Station,Sinkhole,Area,Date ,Time,Bottom depth (m),pH (na),Temperature (°C),Depth (m),Pressure (dBar),Salinity (ppt),Chlorophyll (μg/kg),Oxygen (μmol/kg),Transmissivity (%),Phosphate (μmol/kg),Ammonium (μmol/kg),Nitrite (μmol/kg),Nitrate (μmol/kg),Silicate (μmol/kg),DIC (μmol/kg),TA (μmol/kg),DOC  (μmol/kg),TN  (μmol/kg)
59-1-20,Deep Sinkhole,59,3,N,16.12.2019,12:02,306,7.83,25,180.2,181.4,37.11,0.08,155.4,96.24,0.15,0.11,0.04,2.74,3.36,2294.7,2515,378.3,6.1
23-1-2,Mesopelagic,23,deep,O,11.12.2019,11:55,493,7.87,11.66,483,486.5,35.47,0.08,126.3,94.65,1.35,0.08,0.01,22.24,10.49,2201.4,2338.8,257.4,26.1
38-1-2,Mesopelagic,38,deep,O,13.12.2019,12:10,597,7.85,10.17,590.9,595.3,35.24,0.05,121.7,96.79,1.58,0.1,0.01,25.61,13.15,2197.1,2319.8,93.1,31.1
17-2-6,Platform,17,17,FS,10.12.2019,12:15,126,8.02,26.78,71.5,72,37.02,0.33,188,96.35,0.03,0.15,0.05,0.31,0.65,2084.1,2420.9,290.8,4.1
18-1-6,Platform,18,18,FS,10.12.2019,13:13,125,8.02,27.09,67,67.4,36.93,0.36,188.9,96.33,0.02,0.12,0.04,0.28,1.1,2076.7,2413.8,208.3,5
19-1-6,Platform,19,20,FS,10.12.2019,14:45,111,8.02,27.55,68.7,69.1,36.78,0.37,190.3,96.26,0.02,0.13,0.02,0.25,1.15,2064.5,2403.6,255.6,4.6
23-1-10,Platform,23,deep,O,11.12.2019,11:55,493,8.01,27.84,72.6,73.1,36.7,0.3,190.8,96.12,0.02,0.13,0.01,0.08,1.17,2068.9,2401.7,147.3,5.1
32-1-8,Platform,32,8,S,12.12.2019,14:20,272,8.02,27.67,68.4,68.8,36.72,0.32,187.2,95.87,0.01,0.11,0,0.08,1.2,2061.3,2398.8,202.8,4.5
33-1-6,Platform,33,2,W,12.12.2019,15:30,225,8.01,27.8,67.7,68.1,36.73,0.31,189,96.07,0.01,0.12,0.01,0.07,1.19,2064.3,2400.6,238,4.8
38-1-10,Platform,38,deep,O,13.12.2019,12:10,597,8.02,28.18,60.2,60.6,36.69,0.29,189.5,95.69,0.02,0.14,0.02,0.11,1.23,2054.9,2397.2,146,5
39-1-8,Platform,39,9,E,13.12.2019,13:49,242,8.02,26.84,79.2,79.7,36.95,0.32,182.1,96.05,0.02,0.11,0.12,0.24,1.15,2082.3,2415.9,248.3,4.8
52-1-2,Platform,52,20,FS,15.12.2019,20:03,111,8,26.79,77.9,78.3,37,0.28,177.5,95.73,0.01,0.14,0.1,0.47,1.23,2089.7,2408.3,221.8,6.9
54-1-3,Platform,54,20,FS,15.12.2019,,111,7.99,27.27,72.3,72.8,36.87,0.33,178.8,95.61,0.01,0.09,0.09,0.27,1.22,2081.8,2396.7,240.1,5.1
58-1-2,Platform,58,20,FS,16.12.2019,09:40,111,8,28.11,75.3,75.7,36.55,0.27,177.5,95.76,0.03,0.18,0.03,0.18,1.34,2059.6,2390.1,183.7,4.2
17-2-2,Shallow Sinkhole,17,17,FS,10.12.2019,12:15,126,7.99,25.56,120.7,121.5,37.23,0.16,182.2,96.72,0.03,0.13,0.13,0.63,0.65,2135,2441.7,115.9,5.1
