classification,Acid Lake,Deep Sinkhole,Mesopelagic,Platform,Shallow Sinkhole,Surface
p__Planctomycetota,-1.1647100530133936,-1.2841924798400002,-1.7267482680282722,-1.6910069224715922,-1.4751543825031785,-1.972335033689708
p__Poribacteria,-2.125500014871241,-2.4597413314699126,-2.225099488321984,-3.371000714875664,-2.774417827902579,-3.9279935454215056
p__Proteobacteria,-0.6301118477814657,-0.7005506080263444,-0.8256866549259421,-0.5234001484723363,-0.6293620046036761,-0.3786177133123571
p__QMZS01,-6.418079367107153,-6.6692273308672485,-6.441912987233885,-6.507369253443463,-6.372025723096938,-7.281618580965161
p__QNDG01,-5.538529546510574,-5.735488511172586,-5.236824480258834,-6.003448244540684,-5.835880213340023,-6.1902258827867165
p__RBG-13-61-14,-5.711289604656937,-5.644555822436589,-5.5114902497310805,-5.936925377469238,-5.694610230562733,-6.268160584710089
p__RBG-13-66-14,-5.698787215830976,-5.865600527931647,-5.9004859546732105,-6.565026256586848,-6.38304917042437,-7.204579525460397
p__RUG730,-7.411168846864781,-7.304907270877988,-7.362432633583578,-7.213758423867261,-7.399152868289519,-7.303782553036911
p__Ratteibacteria,-6.019752030175132,-5.7634053365866444,-5.693686224865048,-6.447627961615141,-6.122977322151388,-6.617283915316772
p__Riflebacteria,-5.367772655428054,-5.606649278119828,-5.547564867451132,-5.794551606143208,-5.676038217875685,-5.9412059840332345
p__SAR324,-4.079543548145195,-1.6543418273143808,-1.4306825724616141,-1.7402644966346819,-1.7098851714856822,-1.8320687237850486
p__SLNR01,-7.871467990629441,-7.2712140728216355,-7.839553888303239,-7.354100528209365,-7.504949723915493,-8.207307115769527
p__SM23-31,-5.117886693842124,-5.8559770794567205,-5.31085286990904,-6.146092009151729,-6.1121553982068155,-6.76828029796083
p__SZUA-182,-5.708573712892595,-5.9108418847352775,-5.440066340078377,-6.030017578285554,-5.851454059605466,-6.137114453028922
p__SZUA-79,-6.674683452868166,-6.364447127097426,-6.425155930221868,-6.724086128673991,-6.8024620963446845,-6.708103668430373
p__Schekmanbacteria,-5.57814006330468,-5.890534118312381,-5.699945723910972,-6.334364474487279,-6.197235459209569,-6.552493928939211
p__SpSt-1050,-6.480115033959549,-5.841580323878751,-6.283874761011091,-6.499256204557431,-6.339236339318779,-6.8758253201401605
p__SpSt-1190,-7.536077969515037,-7.759762147476225,-7.061402637919596,-7.485642340893889,-7.226681353185986,-7.73877251332554
p__SpSt-318,-7.07913452297731,-7.4998931136425275,-6.635784443121621,-7.514571540790673,-7.195399812471999,-7.403198351683892
p__SpSt-956,-7.190496268004964,-7.085968277500692,-6.69362612510691,-6.932171521936691,-7.155136642047666,-7.029623500740302
p__Spirochaetota,-4.386294506080503,-3.629676713509722,-3.9226119052137682,-4.004917896650702,-3.8841351785852827,-4.412824957066101
p__Sumerlaeota,-5.026494136047723,-4.854457203332836,-4.800439389077052,-5.490923298376754,-5.027970048244062,-5.867234633539552
p__Synergistota,-5.4143429558434635,-5.524601760190126,-5.472559040299293,-5.691125256585445,-5.4813227479852635,-5.7967508254496725
p__T1SED10-198M,-7.429948489824479,-6.763344771484921,-7.140957800669413,-6.776464948181934,-6.918130355099968,-7.091033006721628
p__T1Sed10-126,-6.365407266019653,-6.590775503453445,-6.937165259422122,-7.022845004561123,-7.052452497116518,-7.291802478958109
p__TA06,-5.743107280063243,-6.160699973841091,-5.65795626195697,-6.562133625556425,-6.368999703879069,-7.219288307956583
p__TA06_A,-5.9768756387210145,-5.795657909065335,-5.920712272086643,-6.550665880531686,-6.230923837841314,-6.476450732519192
p__Tectomicrobia,-4.099736847173354,-3.9413530622576096,-4.013799068554772,-4.541920984788947,-3.9915363949554763,-5.189232837276369
p__Thermodesulfobiota,-7.445559244985733,-7.157621243077456,-7.140957800669413,-6.791908369227047,-6.795397539218189,-7.190781506351256
p__Thermoplasmatota,-1.7026461514172195,-1.2731825032780348,-1.5243210957637516,-1.1784801779142877,-1.2172912901335247,-1.7302093027170946
p__Thermoproteota,-0.8288346382879711,-1.696225236616959,-1.2953651494753458,-2.513851685941192,-1.9220694988790812,-4.307594307438297
p__Thermosulfidibacterota,-6.524392835996032,-6.566130294162647,-6.5177352309302865,-6.826488476402142,-6.629695018046185,-7.294008924375075
p__Thermotogota,-5.62802228451376,-5.1406591797328005,-5.415150247577429,-5.583836746321384,-5.445251171416801,-5.667593812781973
p__UBA10199,-4.261849563399523,-5.123730689669767,-5.109919038650705,-5.4750594384725675,-5.2488059329305,-5.73248409173691
p__UBA2233,-7.343567832638458,-6.951277206180367,-6.995123782698368,-7.192341096132811,-7.09990810493448,-7.478774228584794
p__UBA3054,-6.290113251610399,-5.814643813210539,-5.982545953902417,-6.298482654029475,-6.141674104354294,-6.519009902355557
p__UBA6262,-5.350931707326413,-6.242620129012742,-6.040584286691244,-6.449998312117314,-6.366187608881478,-7.007698710906424
p__UBA8481,-5.578602692225684,-6.021009845534788,-5.635790287810603,-6.212620285808182,-6.29064992225774,-6.910869117766408
p__UBA9089,-6.169814549916824,-6.146069238860498,-5.591955595361619,-6.560164733507049,-6.3562196054180555,-6.547060263113275
p__UBP13,-7.175766395527795,-6.026391414476582,-6.636018292055261,-7.45323310310778,-6.663651197918879,-7.570122077802572
p__UBP14,-5.5834381832576865,-5.80135047460256,-5.976756139591909,-6.0780429316191364,-5.989165437013765,-6.177130818333259
p__UBP15,-5.909632334637977,-6.0860171579259985,-5.64680080872352,-6.411123552258731,-6.352728734958825,-6.636343222751026
p__UBP17,-6.106086394610267,-5.765697260398169,-5.719263197759699,-4.395105987740623,-4.910766009917784,-4.730854793398816
p__UBP18,-6.859667220703604,-6.877202602264425,-7.061870084121021,-6.684927478609463,-6.549584209952836,-7.232091425867221
p__UBP4,-6.812153425435221,-6.534413515241171,-6.348433394198192,-6.813648757102818,-6.698667932824442,-7.092580353495315
p__UBP6,-6.1002065552752995,-5.733510341420966,-5.719426144825665,-5.842552746697364,-5.7032759474330375,-5.907940860885346
p__UBP7,-5.0664781701189625,-3.613001754272637,-4.7764186056564215,-4.873514085647701,-3.99515379220093,-5.430153609287661
p__UBP7_A,-7.5196200766271275,-6.877101990891911,-7.237493896975278,-7.023997695386469,-7.002801810183106,-7.275054864508608
p__Undinarchaeota,-5.540223491859584,-5.238943982251044,-5.435183935240057,-5.473300116274874,-5.480297161069397,-4.823720433603382
p__Verrucomicrobiota,-2.401110580149259,-1.6224759062837342,-1.5901415132785848,-1.3974358804283067,-1.610426605310003,-1.6641382030073921
p__WOR-3,-4.981947995245651,-5.216148101910884,-4.946730858441407,-5.394615164201482,-5.285804683529047,-5.6346897246025
p__Wallbacteria,-6.269810291901799,-6.065993844282736,-6.334871356184759,-6.449818672053617,-6.370390317425713,-6.6747593734916535
p__Zixibacteria,-4.660338023683708,-5.085282775893581,-4.833351211986051,-5.388065992393782,-5.232731993030257,-5.47282792991285
