"","Module","KO","Sub_MO","Class"
"372",M00852,K10961;K10920;K10919;K10930;K10931;K10962;K10932;K10963;K10933;K10964;K10965;K10934;K10935;K10966,NA,Signature modules; Gene set; Pathogenicity
"373",M00853,K22850;K22851;K22852;K22853;K22854,NA,Signature modules; Gene set; Pathogenicity
"374",M00854,K00963;K00693;K00750;K16150;K16153;K13679;K20812;K00975;K00703;K13679;K20812;K00700;K16149,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"375",M00855,K00688;K16153;K01196;K00705;K22451;K02438;K01200;K15779;K01835;K15778,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"376",M00856,K11014;K11023;K19298;K22918,NA,Signature modules; Gene set; Pathogenicity
"377",M00857,K22914;K22926;K22925;K22915;K22916;K22917;K22924;K22921;K22923;K22922,NA,Signature modules; Gene set; Pathogenicity
"378",M00859,K11030;K08645;K11029,NA,Signature modules; Gene set; Pathogenicity
"379",M00860,K22976;K22977;K22980;K07282;K22116;K01932;K22981,NA,Signature modules; Gene set; Pathogenicity
"380",M00861,K00232;K12405;K07513;K08764,NA,Pathway modules; Lipid metabolism; Fatty acid metabolism
"381",M00862,K10214;K12405;K08764,NA,Pathway modules; Lipid metabolism; Sterol biosynthesis
"382",M00866,K00677;K02535;K16363;K02536;K03269;K09949;K00748;K00912;K02527;K02517;K09778,NA,Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism
"383",M00867,K12977;K03760;K23082;K23083;K23159;K09953,NA,Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism
"384",M00868,K00643;K01698;K01749;K01719;K01599;K00228;K00231;K01772,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"385",M00872,K00728;K18207;K09654;K17547;K21031;K19872;K19873;K21052;K21032;K09668,NA,Pathway modules; Glycan metabolism; Glycan biosynthesis
"386",M00873,K18660;K03955;K00645;K09458;K11539;K13370;K22540;K07512,NA,Pathway modules; Lipid metabolism; Fatty acid metabolism
"387",M00874,K11262;K03955;K00645;K09458;K00059;K22541;K07512,NA,Pathway modules; Lipid metabolism; Fatty acid metabolism
"388",M00875,K23371;K21949;K21721;K23372;K23373;K23374;K23375,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"389",M00876,K21898;K23446;K23447,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"390",M00877,K18652;K18653;K18654,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"391",M00878,K01912;K02609;K02610;K02611;K02612;K02613;K15866;K02618;K02615;K01692;K00074,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"392",M00879,K00673;K01484;K00840;K06447;K05526,NA,Pathway modules; Amino acid metabolism; Arginine and proline metabolism
"393",M00880,K03639;K03637;K20967;K03635;K21142;K03831;K03638;K03750;K15376,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"394",M00881,K03801;K03644,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"395",M00882,K23735;K03644,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"396",M00883,K23735;K23734;K03644;K10105;K16869,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"397",M00884,K23750;K03644,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"398",M00889,K12628;K12629;K12630;K12631;K12632;K12633;K12634;K12635;K12636,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"399",M00890,K22598;K22269,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"400",M00891,K23646;K23647;K21477,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other fungal compounds
"401",M00892,K00844;K12407;K00845;K01810;K00820;K00621;K01836;K00972,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"402",M00893,K20981;K20982;K20985;K20980;K20984;K20983,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other fungal compounds
"403",M00894,K20503;K20508;K27602;K20502;K20501,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"404",M00895,K03148;K03154;K03151;K03153;K03149;K10810;K03147;K00941;K00788;K00946,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"405",M00896,K22699;K03147;K00941;K00788;K21220;K21219;K00946,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"406",M00897,K03146;K03147;K14153;K22911;K00949,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"407",M00898,K03146;K18278;K00877;K14154;K00949,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"408",M00899,K00878;K00941;K00788;K14153;K21219,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"409",M00900,K21371;K21354,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"410",M00901,K23665;K23666;K23667;K23668,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other fungal compounds
"411",M00902,K21568;K19650;K21207;K21203;K21205;K21204;K21202,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"412",M00903,K23999;K09459;K12901;K12902;K24000;K12903,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"413",M00904,K22113;K01957;K22114,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"414",M00905,K18287;K17835;K20204,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"415",M00906,K23669;K23670;K23671;K23672;K23673,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"416",M00909,K00845;K25026;K01810;K13810;K15916;K00820;K03431;K04042,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"417",M00910,K01850;K15849;K05359,NA,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
"418",M00911,K01497;K14654;K14655;K02858;K00794;K00793;K00861;K00953,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"419",M00912,K00453;K00463;K01432;K14263;K07130;K00486;K01556;K00452;K00767;K00969;K06210;K01916;K01950,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"420",M00913,K00606;K00077;K13367;K00128;K01918,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"421",M00914,K00606;K00077;K06982;K09722;K13038;K02201;K09735,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"422",M00915,K21722;K21723;K21724,NA,Pathway modules; Xenobiotics biodegradation; Aromatics degradation
"423",M00916,K06215;K08681,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"424",M00917,K01853;K00559;K14423;K23558;K08246;K05917;K00222;K01824;K08242;K14424;K00227;K00213;K09828,NA,Pathway modules; Lipid metabolism; Sterol biosynthesis
"425",M00918,K03897;K03896;K03894;K03895,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"426",M00919,K15783;K15784;K15785;K15786,NA,Pathway modules; Amino acid metabolism; Serine and threonine metabolism
"427",M00921,K13787;K18686;K22997;K22998,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds
"428",M00922,K24257;K01654;K00983,NA,Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism
"429",M00923,K15894;K19068;K24258;K24259,NA,Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism
"430",M00924,K02302;K02303;K13542;K02304;K24866;K02190;K03795;K22011;K03394;K05934;K13541;K21479;K05936;K02189;K13541;K02188;K05895;K02191;K03399;K00595;K06042;K02224,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"431",M00925,K02303;K13542;K03394;K13540;K02229;K05934;K13541;K05936;K02228;K05895;K00595;K06042;K02224;K02230;K09882;K09883,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"432",M00926,K02492;K01845;K01698;K01749;K01719;K13542;K01599;K00231;K01772;K00435,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"433",M00927,K04120;K04121;K04122;K04123,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis
"434",M00928,K05282;K04124,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis
"435",M00929,K20657;K21292;K12917;K12918;K12919,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis
"436",M00930,K11782;K18285;K18286;K20810;K11783;K11784;K11785,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"437",M00931,K11782;K18285;K18284;K11784;K11785,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"438",M00932,K02552;K02551;K08680;K02549;K14759;K01911;K14760;K01661;K19222;K12073;K23094;K17872;K23095,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"439",M00933,K12501;K12502,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"440",M00934,K24528;K24559;K24560;K24561;K24562;K24529;K24292;K24530;K24531;K21540;K21539;K24390,NA,Pathway modules; Biosynthesis of terpenoids and polyketides; Macrolide biosynthesis
"441",M00935,K09733;K19793;K07144;K18933;K06914;K07072,NA,Pathway modules; Energy metabolism; Methane metabolism
"442",M00936,K01593;K24541;K22450;K22588;K13066,NA,Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism
"443",M00937,K15316;K17643;K17644;K17645;K17652;K17646;K24440;K24855;K17648;K24439;K24856;K24438;K24857;K24858;K17649;K17650;K17651,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other fungal compounds
"444",M00938,K00525;K00526;K10807;K10808;K00940;K18533;K01520;K00560;K13998;K03465;K00943,NA,Pathway modules; Nucleotide metabolism; Pyrimidine metabolism
"445",M00939,K09018;K09024;K09020;K09021;K09023;K09019;K16066,NA,Pathway modules; Nucleotide metabolism; Pyrimidine metabolism
"446",M00940,K00660;K08243;K01859,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"447",M00941,K13257;K13258,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"448",M00942,K13259;K13260;K05281;K13265;K25075,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"449",M00943,K13382;K13383;K13384;K13385;K13386,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"450",M00944,K22093;K13391;K13392;K13393;K01742;K14975;K14976;K13394,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"451",M00945,K00307;K21070;K13395;K13396;K21692;K21693;K22089,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"452",M00946,K00307;K13397;K13395;K13396;K20621;K22094;K22095;K22096;K23157;K23158;K22097;K22098,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"453",M00947,K19746;K19744,NA,Pathway modules; Amino acid metabolism; Other amino acid metabolism
"454",M00948,K12658;K21060;K22549;K21061;K22550;K21062;K13877,NA,Pathway modules; Amino acid metabolism; Other amino acid metabolism
"455",M00949,K01780;K23120;K23122,NA,Pathway modules; Amino acid metabolism; Other amino acid metabolism
"456",M00950,K00652;K25570;K01935;K01012,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"457",M00951,K25562;K25597;K25563;K25594;K25598,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"458",M00952,K13222;K13223;K13224;K13225;K13226;K13227;K13229;K13230,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"459",M00953,K00789;K05953;K14271;K22374;K18054,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"460",M00956,K01582;K09251;K00137;K07250;K00135;K15737;K15736,NA,Pathway modules; Amino acid metabolism; Lysine metabolism
"461",M00957,K00468;K01506;K14268;K07250;K00135;K15737;K15736;K01041;K00252;K01692;K01825;K01782;K01825;K01782;K00626,NA,Pathway modules; Amino acid metabolism; Lysine metabolism
"462",M00958,K01490;K01081;K19970;K03787;K18550;K11751;K02566;K08693;K01488;K19572;K05810;K03783;K03784;K09913;K05810;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483,NA,Pathway modules; Nucleotide metabolism; Purine metabolism
"463",M00959,K01081;K19970;K11751;K03787;K02566;K08693;K20881;K03783;K03784;K09913;K05810;K01487;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483,NA,Pathway modules; Nucleotide metabolism; Purine metabolism
"464",M00960,K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737,NA,Pathway modules; Amino acid metabolism; Lysine metabolism
"465",M00961,K26037;K15777;K15776;K15774;K26038,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"466",M00962,K22433;K22434;K22435;K22436,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"467",M00963,K14130;K18884;K17746,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"468",M00964,K19182;K19183;K19184;K14135,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"469",M00965,K12696;K21895;K22365;K22323;K21896;K12697;K12698,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"470",M00966,K26069;K26175;K26070;K26071,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"471",M00967,K26176;K26178;K22906,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"472",M00968,K00757;K26211;K26212;K21056;K26208;K18931;K18237;K01601;K26210;K01636,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"473",M00969,K22569;K21295;K22570;K22571;K22572;K22573;K22574;K22575,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics
"474",M00970,K00318;K00294;K13821,NA,Pathway modules; Amino acid metabolism; Arginine and proline metabolism
"475",M00971,K15813;K20667;K26481;K26482;K26483;K26484;K26485;K26487;K26488;K26489;K26490;K26491;K26493;K26494;K26495,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"476",M00972,K00819;K00286;K00318,NA,Pathway modules; Amino acid metabolism; Arginine and proline metabolism
"477",M00973,K00368;K15864;K20932;K20933;K20934;K20935,NA,Pathway modules; Energy metabolism; Nitrogen metabolism
"478",M00974,K00544;K00315;K00306;K00314,NA,Pathway modules; Amino acid metabolism; Serine and threonine metabolism
"479",M00975,K00479;K21832;K00309;K00315;K00301;K00302;K00303;K00304;K00305;K21833;K21834;K25960;K25961;K00600;K01752;K01754,NA,Pathway modules; Amino acid metabolism; Serine and threonine metabolism
"480",M00976,K00512;K00070;K04119;K10207;K13368;K13369;K13370;K12343;K12344;K12345,NA,Pathway modules; Lipid metabolism; Sterol biosynthesis
"481",M00978,K01915;K01955;K01956;K00611;K01940;K01755;K27542;K27545,NA,Pathway modules; Amino acid metabolism; Arginine and proline metabolism
