"","Module","KO","Sub_MO","Class"
"50",M00051,K11540;K11541;K01954;K01955;K01956;K11540;K11541;K00609;K00610;K00608;K11540;K01465;K00226;K00254;K17828;K13421;K00762;K13421;K01591,NA,Pathway modules; Nucleotide metabolism; Pyrimidine metabolism
"51",M00052,K13800;K13809;K09903;K00940;K18533;K01937,NA,Pathway modules; Nucleotide metabolism; Pyrimidine metabolism
"52",M00053,K00525;K00526;K10807;K10808;K00940;K18533,NA,Pathway modules; Nucleotide metabolism; Purine metabolism
"53",M00055,K01001;K07432;K07441;K03842;K03843;K03844;K03845;K03846;K03847;K03846;K00729;K03848;K03849;K03850,NA,Pathway modules; Glycan metabolism; Glycan biosynthesis
"54",M00056,K00710;K00731;K09653;K00727;K09662;K09663;K00739,NA,Pathway modules; Glycan metabolism; Glycan biosynthesis
"55",M00057,K00771;K00733;K00734;K10158,NA,Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism
"56",M00058,K00746;K03419;K13499;K00747,NA,Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism
"57",M00059,K02369;K02370;K02366;K02367;K02368;K02370;K02576;K02577;K02578;K02579;K01793,NA,Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism
"58",M00060,K00677;K02535;K02536;K03269;K09949;K00748;K00912;K02527;K02517;K02560,NA,Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism
"59",M00061,K01812;K00040;K01686;K08323;K00874;K01625;K17463,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"60",M00063,K06041;K01627;K03270;K00979,NA,Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism
"61",M00064,K03271;K03272;K21344;K03273;K03272;K21345;K03274,NA,Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism
"62",M00065,K03857;K03859;K03858;K03861;K03860;K11001;K11002;K09658;K03434;K05283;K05284;K07541;K07542;K05285;K05286;K05288;K05287;K05310,NA,Pathway modules; Glycan metabolism; Glycan biosynthesis
"63",M00066,K00720;K07553;K09905,NA,Pathway modules; Lipid metabolism; Lipid metabolism
"64",M00067,K04628;K01019,NA,Pathway modules; Lipid metabolism; Lipid metabolism
"65",M00068,K01988;K00719,NA,Pathway modules; Glycan metabolism; Glycan biosynthesis
"66",M00069,K03370;K03371;K03369,NA,Pathway modules; Glycan metabolism; Glycan biosynthesis
"67",M00070,K03766;K07819;K07820;K03877,NA,Pathway modules; Glycan metabolism; Glycan biosynthesis
"68",M00071,K03766;K07966;K07967;K07968;K07969,NA,Pathway modules; Glycan metabolism; Glycan biosynthesis
"69",M00072,K07151;K12666;K12667;K12668;K12669;K12670;K00730;K12691,NA,Pathway modules; Glycan metabolism; Glycan biosynthesis
"70",M00073,K01228;K05546;K23741;K01230,NA,Pathway modules; Glycan metabolism; Glycan biosynthesis
"71",M00074,K05546;K23741;K01230;K05528;K05529;K05530;K05529;K05531;K05532;K05533;K05534;K05535,NA,Pathway modules; Glycan metabolism; Glycan biosynthesis
"72",M00075,K01231;K00736;K00737;K00738;K00744;K09661;K13748;K00717;K07966;K07967;K07968;K00778;K00779,NA,Pathway modules; Glycan metabolism; Glycan biosynthesis
"73",M00076,K01136;K01217;K01135;K01197;K01195,NA,Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism
"74",M00077,K01135;K01197;K01195;K01132,NA,Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism
"75",M00078,K07964;K07965;K01136;K01217;K01565;K10532;K01205;K01195;K01137,NA,Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism
"76",M00079,K01132;K12309;K01137;K12373,NA,Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism
"77",M00081,K01051;K01184;K01213,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"78",M00082,K11262;K02160;K01961;K11263;K01962;K01963;K18472;K00665;K00667;K00668;K11533;K00645;K00648;K18473,NA,Pathway modules; Lipid metabolism; Fatty acid metabolism
"79",M00083,K00665;K00667;K00668;K11533;K00647;K09458;K00059;K02372;K01716;K16363;K00208;K02371;K10780;K00209,NA,Pathway modules; Lipid metabolism; Fatty acid metabolism
"80",M00085,K07508;K07509;K00022;K07511;K07515;K07512,NA,Pathway modules; Lipid metabolism; Fatty acid metabolism
"81",M00086,K01897;K15013,NA,Pathway modules; Lipid metabolism; Fatty acid metabolism
"82",M00087,K00232;K00249;K00255;K06445;K09479;K01692;K07511;K13767;K00022;K07516;K01825;K01782;K07514;K07515;K10527;K00632;K07513;K07508;K07509,NA,Pathway modules; Lipid metabolism; Fatty acid metabolism
"83",M00088,K00626;K01641;K01640;K00019;K01574,NA,Pathway modules; Lipid metabolism; Lipid metabolism
"84",M00089,K00629;K13506;K13507;K00630;K13508;K00655;K13509;K13523;K19007;K13513;K13517;K13519;K14674;K22831;K01080;K15728;K18693;K11155;K11160;K14456;K22848;K22849;K27538;K27539,NA,Pathway modules; Lipid metabolism; Lipid metabolism
"85",M00090,K00866;K14156;K00968;K00994;K13644,NA,Pathway modules; Lipid metabolism; Lipid metabolism
"86",M00091,K00551;K16369;K00570;K00570;K00550;K00551,NA,Pathway modules; Lipid metabolism; Lipid metabolism
"87",M00092,K00894;K14156;K00967;K00993;K13644,NA,Pathway modules; Lipid metabolism; Lipid metabolism
"88",M00093,K00981;K00998;K17103;K01613,NA,Pathway modules; Lipid metabolism; Lipid metabolism
"89",M00094,K00654;K04708;K04709;K04710;K24621;K24622;K23727;K04712,NA,Pathway modules; Lipid metabolism; Lipid metabolism
