,Acid Lake,Deep Sinkhole,Mesopelagic,Platform,Shallow Sinkhole,Surface
met_Benzene_and_substituted_derivatives,0.05924002197000661,0.050749957104109976,0.04618419184550255,0.05200665502102053,0.0506050195760724,0.05352809879763232
met_Benzenediols,9.469085464930074e-05,0.00011403082453233796,7.268686175999324e-05,0.00015282785007448183,0.00015700752125409238,0.00018479112149300642
met_Benzenesulfonyl_compounds,0.0002597849603087,0.0001995666695949375,0.00029398729216160004,0.00021738965713527273,0.0002326829295298857,0.00027854277949891334
met_Benzenoids,0.08324656928240103,0.08607539578712069,0.06889156308416905,0.08749811893373285,0.08580180598310672,0.09280435630285405
met_Benzimidazoles,1.4210537223243896e-06,1.909235679937549e-05,0.00011081819037792704,3.838029222581295e-06,3.2512307928769923e-06,9.9135233714954e-06
met_Benzodioxoles,0.004058245715071616,0.004695312995855287,0.00260895487473425,0.004394750121391764,0.004729971745992043,0.004599632136539333
met_Benzofuranones,0.014001042005313333,0.016571147930875413,0.00911835188046375,0.014446039207188427,0.01589901452191266,0.015741658856531886
met_Carboxylic_acid_anhydrides_+_4_others,0.015837062146512332,0.019235621033070936,0.011343412248785548,0.017603313933315864,0.01936875357204233,0.019198472246678748
met_Benzoic_acid_esters,0.013874160336771116,0.016570448803513986,0.00948210817014605,0.01504016764824031,0.015581953516180145,0.01565589421423516
met_Benzoic_acids,0.011703567885653215,0.013951838248299387,0.00740132715619065,0.012365252095884462,0.013360062007270615,0.01332094553085856
met_Benzoic_acids_and_derivatives,0.021549662891395285,0.0209577836140445,0.01538485269261795,0.019709702465908828,0.01977372160955023,0.021290156024903428
met_Benzophenones,0.0009547879020604666,0.000818734607407525,0.0007576157289568501,0.0006915747637080273,0.0007328866151000713,0.0006948634346951
met_Benzopyrans,0.00017224061135873332,0.00047483303904775,0.00024071906712575002,0.0005219290034286181,0.00048734255793194287,0.0004414175669367267
met_Benzothiazoles,0.00026235834230463334,0.000234416839379475,0.0002078554767503,0.0001855913625007091,0.00019578095396832144,0.00019554767941424
met_Benzoyl_derivatives,0.024448855985397967,0.024685508076494125,0.01792156500380255,0.023624589675767357,0.023616483119568186,0.025252884196011207
met_Benzyl_alcohols,2.5502448900136532e-05,2.4354421384052767e-05,3.8446802760733115e-05,3.057115124163747e-05,2.5225133102483177e-05,3.546903160545932e-05
met_Phenylmethylamines|Benzylamines,0.0013976517640755168,0.0023951039857565875,0.0014282066659081,0.002074509690509709,0.0023229762227652503,0.0018676277700724999
met_Benzylethers,6.759154500378366e-06,1.4234009406442039e-05,1.2533325281185447e-05,2.909510453923832e-05,1.5995530016201743e-05,6.983530918075053e-05
met_Benzyloxycarbonyls,0.00010048492167557368,7.581334408632656e-06,5.008528810588612e-06,1.4407488394667856e-05,1.003155482023039e-05,1.713842756991345e-05
met_Beta_hydroxy_acids_and_derivatives,0.009109853785966883,0.01627865512791945,0.011835895221914399,0.0188712033813798,0.016438870061338064,0.019776544870235797
